dataset_name,outcome,adaptor_accuracy,iclv2_accuracy,delta_accuracy,delta_pp,n_test,delta_correct,task_type,n_features_result,n_features_info,n_total_info,feature_bin,sample_bin,n_classes,ttt_applied,ttt_adaptor_enabled,ttt_best_epoch,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_split_reason
FOREX_audsgd-hour-High,loss,0.70998288648,0.710553337136,-0.000570450656018,-0.0570450656018,8765,-5,binclass,10,10,43825,<=10,20k-100k,2,True,True,28,0.6995151169423844,0.7062179121505989,full train set chunked per epoch | validation=dataset_val_split
credit,loss,0.785222853724,0.785821118756,-0.000598265031409,-0.0598265031409,3343,-2,binclass,10,10,16714,<=10,5k-20k,2,True,True,0,0.7786915887850467,0.7786915887850467,full train set chunked per epoch | validation=dataset_val_split
bank,loss,0.9082162999,0.908990379299,-0.00077407939843,-0.077407939843,9043,-7,binclass,16,16,45211,11-30,20k-100k,2,True,True,0,0.915537738457285,0.915537738457285,full train set chunked per epoch | validation=dataset_val_split
Employee,loss,0.859291084855,0.860365198711,-0.00107411385607,-0.107411385607,931,-1,binclass,8,8,4653,<=10,2k-5k,2,True,True,3,0.8523489932885906,0.8523489932885906,full train set chunked per epoch | validation=dataset_val_split
ada,loss,0.861445783133,0.86265060241,-0.00120481927711,-0.120481927711,830,-1,binclass,48,48,4147,31-100,2k-5k,2,True,True,0,0.8704819277108434,0.8704819277108434,full train set chunked per epoch | validation=dataset_val_split
FOREX_audcad-hour-High,loss,0.716257843697,0.717626925271,-0.00136908157444,-0.136908157444,8765,-12,binclass,10,10,43825,<=10,20k-100k,2,True,True,0,0.7164860239589276,0.7164860239589276,full train set chunked per epoch | validation=dataset_val_split
ada_agnostic,loss,0.848849945235,0.851040525739,-0.00219058050383,-0.219058050383,913,-2,binclass,48,48,4562,31-100,2k-5k,2,True,True,3,0.8547945205479452,0.8547945205479452,full train set chunked per epoch | validation=dataset_val_split
UJI_Pen_Characters,loss,0.534798534799,0.538461538462,-0.003663003663,-0.3663003663,273,-1,multiclass,80,80,1364,31-100,<=2k,35,False,False,0,,,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10
ASP-POTASSCO-classification,loss,0.486486486486,0.490347490347,-0.003861003861,-0.3861003861,259,-1,multiclass,141,141,1294,101-300,<=2k,11,False,False,0,,,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10
autoUniv-au4-2500,loss,0.724,0.728,-0.004,-0.4,500,-2,multiclass,100,100,2500,31-100,2k-5k,3,True,True,5,0.715,0.715,full train set chunked per epoch | validation=dataset_val_split
Diabetic_Retinopathy_Debrecen,loss,0.735930735931,0.74025974026,-0.004329004329,-0.4329004329,231,-1,binclass,19,19,1151,11-30,<=2k,2,True,True,6,0.7445652173913043,0.7445652173913043,full train set chunked per epoch | validation=dataset_val_split
FOREX_audjpy-day-High,loss,0.782016348774,0.787465940054,-0.00544959128065,-0.544959128065,367,-2,binclass,10,10,1832,<=10,<=2k,2,True,True,0,0.7508532423208191,0.7508532423208191,full train set chunked per epoch | validation=dataset_val_split
