dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_ttt,bucket_ttt_vs_baseline,accuracy_baseline,accuracy_ttt,delta_ttt_vs_baseline,delta_pp_ttt_vs_baseline,relative_delta_pct_ttt_vs_baseline,fit_seconds_baseline,fit_seconds_ttt,predict_seconds_baseline,predict_seconds_ttt,ttt_applied_ttt,ttt_steps_ttt,ttt_lr_ttt,ttt_loss_ttt,ttt_update_seconds_ttt,n_train_a_ttt,n_train_b_ttt,n_holdout_c_ttt,n_test_d_ttt,ttt_split_strategy_ttt,ttt_split_reason_ttt,error_type_ttt,error_first_line_ttt,dataset_dir
PizzaCutter3,binclass,834,167,209,37,2,ok,ok,tie,0.8803827751196173,0.8803827751196173,0.0,0.0,0.0,0.3744237422943115,10.485070943832396,0.7117657661437988,0.6953377723693848,True,9,5e-06,0.3150129579007625,10.413102626800535,834,625,209,209,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/PizzaCutter3
Pumpkin_Seeds,binclass,2000,400,500,12,2,ok,ok,improved,0.872,0.874,0.002,0.2000000000000001,0.2293577981651378,0.3438808917999267,14.530792236328123,0.5485992431640625,0.5709495544433594,True,9,5e-06,0.2186323315836489,14.491528034210203,2000,1500,500,500,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Pumpkin_Seeds
QSAR_biodegradation,binclass,843,169,211,41,2,ok,ok,regressed,0.8862559241706162,0.8767772511848341,-0.009478672985782,-0.9478672985782088,-1.069518716577551,0.4245004653930664,10.756572961807253,0.7139487266540527,0.7534842491149902,True,9,5e-06,0.2687628557905555,10.63905119895935,843,632,211,211,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation
Rain_in_Australia,multiclass,116368,23274,29092,18,3,ok,ok,tie,0.8503712360786471,0.8503712360786471,0.0,0.0,0.0,2.0024683475494385,2.0024683475494385,296.4315595626831,296.4315595626831,False,0,,,0.0,0,0,0,0,,TTT failed; accuracy replaced with v1.1_baseline accuracy.,baseline_fallback_from_v1.1_baseline,original_error_type=RuntimeError; original_error_first_line=RuntimeError: Caught RuntimeError in replica 0 on device 0.,/home/crc00006699/zh/tabiclv2/data178/Rain_in_Australia
SDSS17,multiclass,80000,16000,20000,12,3,ok,ok,tie,0.9762,0.9762,0.0,0.0,0.0,1.0477042198181152,1.0477042198181152,106.15025877952576,106.15025877952576,False,0,,,0.0,0,0,0,0,,TTT failed; accuracy replaced with v1.1_baseline accuracy.,baseline_fallback_from_v1.1_baseline,original_error_type=RuntimeError; original_error_first_line=RuntimeError: Caught RuntimeError in replica 0 on device 0.,/home/crc00006699/zh/tabiclv2/data178/SDSS17
Satellite,binclass,4080,816,1020,36,2,ok,ok,regressed,0.9931372549019608,0.992156862745098,-0.0009803921568628,-0.0980392156862852,-0.098716683119458,0.4437465667724609,34.23135685920715,1.709503412246704,1.6717395782470703,True,9,5e-06,0.0137164013576693,34.0994770526886,4080,3060,1020,1020,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Satellite
Telecom_Churn_Dataset,binclass,2666,534,667,17,2,ok,ok,regressed,0.9550224887556222,0.9535232383808095,-0.0014992503748126,-0.1499250374812688,-0.1569858712715954,0.5314147472381592,18.46372652053833,0.9212701320648192,0.7554843425750732,True,9,5e-06,0.1464503738097846,18.404500007629395,2666,1999,667,667,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset
UJI_Pen_Characters,multiclass,1091,219,273,80,35,ok,ok,tie,0.5421245421245421,0.5421245421245421,0.0,0.0,0.0,0.4650278091430664,0.9166913032531738,2.3061394691467285,2.092579126358032,False,0,5e-06,,0.4926280975341797,1091,818,273,273,stratified,stratified split | TTT training skipped because n_classes=35 exceeds model max_classes=10,,,/home/crc00006699/zh/tabiclv2/data178/UJI_Pen_Characters
Water_Quality_and_Potability,binclass,2620,524,656,8,2,ok,ok,regressed,0.6417682926829268,0.6219512195121951,-0.0198170731707316,-1.981707317073167,-3.087885985748213,0.3466596603393554,16.95079755783081,0.6794238090515137,0.642554759979248,True,9,5e-06,0.6224258523434401,16.91934633255005,2620,1965,655,656,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability
Wilt,binclass,3856,772,965,5,2,ok,ok,regressed,0.9927461139896372,0.9917098445595854,-0.0010362694300517,-0.103626943005175,-0.1043841336116846,0.3395838737487793,17.945818662643433,0.6373746395111084,0.6396920680999756,True,9,5e-06,0.0148656376404687,17.90885853767395,3856,2892,964,965,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Wilt
abalone,multiclass,3341,669,836,8,3,ok,ok,regressed,0.6519138755980861,0.6471291866028708,-0.0047846889952153,-0.4784688995215336,-0.7339449541284442,0.3707823753356933,21.370643615722656,0.9034225940704346,0.9091525077819824,True,9,5e-06,0.6569761373102665,21.324339151382446,3341,2505,836,836,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/abalone
accelerometer,multiclass,122403,24481,30601,4,4,ok,ok,tie,0.7410542139145779,0.7410542139145779,0.0,0.0,0.0,0.7155473232269287,0.7155473232269287,231.66927766799927,231.66927766799927,False,0,,,0.0,0,0,0,0,,TTT failed; accuracy replaced with v1.1_baseline accuracy.,baseline_fallback_from_v1.1_baseline,original_error_type=RuntimeError; original_error_first_line=RuntimeError: Caught RuntimeError in replica 0 on device 0.,/home/crc00006699/zh/tabiclv2/data178/accelerometer
ada,binclass,3317,664,830,48,2,ok,ok,regressed,0.8481927710843373,0.844578313253012,-0.0036144578313253,-0.3614457831325302,-0.4261363636363637,0.4314839839935303,26.55420517921448,1.5898911952972412,1.7171196937561035,True,9,5e-06,0.3191066263243556,26.42140507698059,3317,2487,830,830,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/ada
ada_agnostic,binclass,3649,730,913,48,2,ok,ok,tie,0.8400876232201533,0.8400876232201533,0.0,0.0,0.0,0.4654519557952881,32.00208020210266,1.847543478012085,1.8348090648651123,True,9,5e-06,0.3297145953401923,31.858254194259644,3649,2736,913,913,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/ada_agnostic
ada_prior,binclass,3649,730,913,14,2,ok,ok,improved,0.8411829134720701,0.8488499452354874,0.0076670317634173,0.766703176341732,0.911458333333335,0.4143166542053222,26.66042304039001,1.1880998611450195,1.006169319152832,True,9,5e-06,0.3356992742046714,26.58750891685486,3649,2736,913,913,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/ada_prior
