dataset_name,task_type,accuracy_ensemble,fit_seconds_ensemble,predict_seconds_ensemble,ttt_update_seconds_ensemble,accuracy_icl,fit_seconds_icl,predict_seconds_icl,ttt_update_seconds_icl,delta_ensemble_minus_icl,delta_pp,total_seconds_ensemble,total_seconds_icl,winner
sylvine,binclass,0.9707317073170731,29.692704439163208,1.441517353057861,29.604766845703125,0.9707317073170731,3.0345876216888428,1.1925463676452637,2.9453675746917725,0.0,0.0,31.13422179222107,4.2271339893341064,tie
taiwanese_bankruptcy_prediction,binclass,0.9721407624633432,70.32696223258972,4.160232067108154,69.91534471511841,0.9721407624633432,6.95682692527771,3.950242757797241,6.539520025253296,0.0,0.0,74.48719429969788,10.907069683074951,tie
texture,multiclass,1.0,0.89994215965271,4.06017279624939,0.4366731643676758,1.0,0.9062249660491944,3.882666110992432,0.4374167919158935,0.0,0.0,4.9601149559021,4.788891077041627,tie
thyroid,multiclass,0.99375,49.13636112213135,2.000135660171509,49.047213077545166,0.99375,4.659923076629639,1.8439726829528809,4.567296266555786,0.0,0.0,51.136496782302856,6.5038957595825195,tie
volkert,multiclass,0.7337506431143886,5.579948663711548,258.10173082351685,0.0,0.7337506431143886,5.621411561965942,269.0237774848938,0.0,0.0,0.0,263.6816794872284,274.64518904685974,tie
walking-activity,multiclass,0.6641443733886898,1.5197668075561523,361.91360092163086,0.6856362819671631,0.6641443733886898,1.5153789520263672,359.7460942268372,0.6742494106292725,0.0,0.0,363.433367729187,361.2614731788636,tie
pendigits,multiclass,0.9968167348794906,98.25705599784852,3.373758316040039,98.12723636627196,0.9972714870395636,8.961752653121948,4.070654392242432,8.831889629364014,-0.0004547521600729576,-0.04547521600729576,101.63081431388856,13.03240704536438,icl_training
California-Housing-Classification,binclass,0.9125484496124032,286.1560814380646,7.246887683868408,286.0150053501129,0.913032945736434,24.628108978271484,6.449357748031616,24.48462915420532,-0.00048449612403078657,-0.04844961240307866,293.402969121933,31.0774667263031,icl_training
heloc,binclass,0.7245,86.24394369125366,3.19053053855896,86.08801317214966,0.725,7.719164609909058,2.886812686920166,7.566423892974853,-0.0004999999999999449,-0.04999999999999449,89.43447422981262,10.605977296829224,icl_training
mozilla4,binclass,0.9401736892891605,87.07503771781921,2.2138257026672363,87.00502371788025,0.940816982952718,14.850621700286863,2.099426507949829,14.781893253326416,-0.0006432936635575315,-0.06432936635575315,89.28886342048645,16.950048208236694,icl_training
PhishingWebsites,binclass,0.979194934418815,106.14995551109314,3.8954458236694336,105.87272143363953,0.9800995024875622,9.899179458618164,3.707572460174561,9.624411582946776,-0.0009045680687471691,-0.09045680687471691,110.04540133476257,13.606751918792725,icl_training
page-blocks,multiclass,0.978082191780822,31.16379714012146,1.375227451324463,31.11163830757141,0.9789954337899544,2.925074577331543,1.071523904800415,2.8736443519592285,-0.0009132420091323423,-0.09132420091323423,32.53902459144592,3.996598482131958,icl_training
