dataset_name,status_old,status_new,accuracy_old,accuracy_new,accuracy_diff,f1_old,f1_new,n_train_old,n_val_old,n_test_old,n_features_old,n_classes_old
twonorm,ok,ok,0.9777027027027028,0.9777027027027028,0.0,0.9777024482109228,0.9777023464142108,5920,1184,1480,20,2
vehicle,ok,ok,0.8764705882352941,0.8764705882352941,0.0,0.8748302469135802,0.87399709513435,676,136,170,18,4
volkert,ok,ok,0.7511576058995026,0.7511576058995026,0.0,0.7236890997561825,0.7464453240897367,46648,9330,11662,180,10
walking-activity,ok,ok,0.6750929119094653,0.6750929119094653,0.0,0.6293862328155991,0.6743677865423084,119465,23893,29867,4,22
wall-robot-navigation,ok,ok,0.9935897435897436,0.9935897435897436,0.0,0.9892504737172456,0.9935906981990156,4364,873,1092,24,4
water_quality,ok,ok,0.911875,0.911875,0.0,0.7249582133987776,0.9001129884094757,6396,1280,1600,20,2
waveform-5000,ok,ok,0.865,0.865,0.0,0.8650740733989918,0.8649918882185322,4000,800,1000,40,3
waveform_database_generator,ok,ok,0.354,0.354,0.0,0.2808023771803299,0.2824853269017048,3999,800,1000,21,3
waveform_database_generator_version_1,ok,ok,0.871,0.871,0.0,0.8703809120951634,0.8705334846679682,4000,800,1000,21,3
website_phishing,ok,ok,0.92619926199262,0.92619926199262,0.0,0.9164505961005616,0.9264532281561662,1082,217,271,9,3
wine,ok,ok,0.786692759295499,0.786692759295499,0.0,0.7858529702380266,0.7858267268299804,2043,409,511,4,2
wine-quality-red,ok,ok,0.68125,0.68125,0.0,0.3411729571841173,0.6621077801687107,1279,256,320,4,6
wine-quality-white,ok,ok,0.689795918367347,0.689795918367347,0.0,0.4433728886110572,0.6817477617181938,3918,784,980,11,7
yeast,ok,ok,0.6363636363636364,0.6363636363636364,0.0,0.5949289735532861,0.6295226566676336,1187,238,297,8,10
