dataset_name,dataset_dir,method,context_length,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_b,n_holdout_c,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_step_losses
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,ttt,10,binclass,35060,7012,8765,10,2,0.5066742726754135,199.2321200370789,2.258206844329834,ok,,26295,8765,0.5575794577598572,20,1e-05,True,199.1947467327118,stratified,stratified split,"[0.613400936126709, 0.5932544469833374, 0.6065995097160339, 0.5828052759170532, 0.5815925002098083, 0.5744193196296692, 0.5709060430526733, 0.5690558552742004, 0.5679530501365662, 0.5699917078018188, 0.5642833709716797, 0.5671170949935913, 0.5668447017669678, 0.5638924241065979, 0.5620948076248169, 0.5629357695579529, 0.5615075826644897, 0.5614539384841919, 0.5611146092414856, 0.5575794577598572]"
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,baseline,10,binclass,1467,294,367,10,2,0.4822888283378747,0.3548409938812256,0.1253800392150879,ok,,0,0,,0,,False,0.0,,,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,ttt,10,binclass,1467,294,367,10,2,0.4822888283378747,1.8663253784179688,0.1252343654632568,ok,,1100,367,0.6896546483039856,20,1e-05,True,1.8424341678619385,stratified,stratified split,"[0.6926785707473755, 0.6920055150985718, 0.6918665766716003, 0.6915419697761536, 0.6912760138511658, 0.6910820007324219, 0.6912431120872498, 0.6908451914787292, 0.6911043524742126, 0.6910930275917053, 0.6909410953521729, 0.6907775402069092, 0.6906449198722839, 0.6905428767204285, 0.6905547976493835, 0.6904504299163818, 0.6902283430099487, 0.6900502443313599, 0.6899475455284119, 0.6896546483039856]"
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,baseline,10,binclass,35060,7012,8765,10,2,0.5037079292641187,0.3329353332519531,2.1909022331237797,ok,,0,0,,0,,False,0.0,,,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,ttt,10,binclass,35060,7012,8765,10,2,0.5046206503137478,198.51450443267825,2.260008811950684,ok,,26295,8765,0.6903544664382935,20,1e-05,True,198.4785032272339,stratified,stratified split,"[0.6907697319984436, 0.6907424926757812, 0.6911270618438721, 0.6930853128433228, 0.6905051469802856, 0.690475344657898, 0.690567672252655, 0.690511167049408, 0.6904727816581726, 0.6905093193054199, 0.6905173063278198, 0.6904709935188293, 0.6904575228691101, 0.6904854774475098, 0.6904656887054443, 0.6904165744781494, 0.6904136538505554, 0.6904075741767883, 0.6903539299964905, 0.6903544664382935]"
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,baseline,10,multiclass,8640,1728,2160,16,4,0.5990740740740741,0.3623628616333008,0.6852662563323975,ok,,0,0,,0,,False,0.0,,,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,ttt,10,multiclass,8640,1728,2160,16,4,0.5939814814814814,15.869620323181152,0.7187247276306152,ok,,6480,2160,0.1276273131370544,20,1e-05,True,15.826135396957396,stratified,stratified split,"[0.36773160099983215, 0.345143586397171, 0.3304274380207062, 0.3184581696987152, 0.30719342827796936, 0.29603084921836853, 0.28593501448631287, 0.27557870745658875, 0.26436173915863037, 0.25366586446762085, 0.2431422472000122, 0.23208306729793549, 0.22047077119350433, 0.2078896313905716, 0.19543662667274475, 0.18164081871509552, 0.16788344085216522, 0.15401682257652283, 0.14057104289531708, 0.12762731313705444]"
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,baseline,10,binclass,1200,240,300,6,2,0.69,0.3364617824554443,0.0879287719726562,ok,,0,0,,0,,False,0.0,,,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,ttt,10,binclass,1200,240,300,6,2,0.6933333333333334,1.818666696548462,0.0895566940307617,ok,,900,300,0.328756719827652,20,1e-05,True,1.7944469451904297,stratified,stratified split,"[0.5322405099868774, 0.5102003216743469, 0.5017891526222229, 0.4958046078681946, 0.48739105463027954, 0.488365113735199, 0.4698013365268707, 0.46367567777633667, 0.4539428651332855, 0.43857961893081665, 0.4353711009025574, 0.4277677834033966, 0.411946177482605, 0.40597420930862427, 0.3953125476837158, 0.3860674202442169, 0.37333011627197266, 0.36183130741119385, 0.3439863324165344, 0.328756719827652]"
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,baseline,10,binclass,1280,256,320,20,2,0.471875,0.3401992321014404,0.1305932998657226,ok,,0,0,,0,,False,0.0,,,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,ttt,10,binclass,1280,256,320,20,2,0.46875,1.9265124797821045,0.1403374671936035,ok,,960,320,0.2492580860853195,20,1e-05,True,1.8886115550994875,stratified,stratified split,"[0.6546735763549805, 0.6421148777008057, 0.6370298266410828, 0.6322330832481384, 0.6253308057785034, 0.6158221960067749, 0.6049714088439941, 0.5909093022346497, 0.570705235004425, 0.5446445345878601, 0.5186265110969543, 0.4950121343135834, 0.46818313002586365, 0.4416046142578125, 0.4151284098625183, 0.38431400060653687, 0.3516690731048584, 0.31742918491363525, 0.2832201421260834, 0.24925808608531952]"
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,baseline,10,binclass,1280,256,320,20,2,0.5,0.3426480293273926,0.1328802108764648,ok,,0,0,,0,,False,0.0,,,
