dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
texture,/home/crc00006699/zh/tabiclv2/data178/texture,multiclass,4400,880,1100,40,11,1.0,0.6580078601837158,3.927361488342285,ok,,6,"5,14,16,22,30,39",0.1945638656616211,ok selected=6 candidates=40 samples=4400,baseline/iclv1.1_casual_ensmble32/causal_graphs/texture.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/texture.json
thyroid-dis,/home/crc00006699/zh/tabiclv2/data178/thyroid-dis,multiclass,2240,448,560,26,5,0.6910714285714286,0.5943038463592529,0.892134428024292,ok,,11,"0,1,4,7,9,15,16,18,20,22,24",0.2008712291717529,ok selected=11 candidates=26 samples=2240,baseline/iclv1.1_casual_ensmble32/causal_graphs/thyroid-dis.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/thyroid-dis.json
vehicle,/home/crc00006699/zh/tabiclv2/data178/vehicle,multiclass,676,136,170,18,4,0.8705882352941177,0.3652777671813965,0.4198999404907226,ok,,5,"5,7,8,14,17",0.0227525234222412,ok selected=5 candidates=18 samples=676,baseline/iclv1.1_casual_ensmble32/causal_graphs/vehicle.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/vehicle.json
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data178/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9816849816849816,0.6608829498291016,1.5005998611450195,ok,,10,"2,5,8,12,14,15,16,18,19,21",0.2472317218780517,ok selected=10 candidates=24 samples=4364,baseline/iclv1.1_casual_ensmble32/causal_graphs/wall-robot-navigation.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/wall-robot-navigation.json
waveform_database_generator,/home/crc00006699/zh/tabiclv2/data178/waveform_database_generator,multiclass,3999,800,1000,21,3,0.346,0.3931035995483398,0.8359568119049072,ok,,3,"6,17,19",0.0052864551544189,ok selected=3 candidates=21 samples=3999,baseline/iclv1.1_casual_ensmble32/causal_graphs/waveform_database_generator.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/waveform_database_generator.json
wine,/home/crc00006699/zh/tabiclv2/data178/wine,binclass,2043,409,511,4,2,0.7729941291585127,0.3303990364074707,0.1909503936767578,ok,,3,"0,1,3",0.0010015964508056,ok selected=3 candidates=4 samples=2043,baseline/iclv1.1_casual_ensmble32/causal_graphs/wine.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/wine.json
yeast,/home/crc00006699/zh/tabiclv2/data178/yeast,multiclass,1187,238,297,8,10,0.6262626262626263,0.3519124984741211,0.3309617042541504,ok,,5,"0,2,3,5,7",0.0165736675262451,ok selected=5 candidates=8 samples=1187,baseline/iclv1.1_casual_ensmble32/causal_graphs/yeast.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/yeast.json
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9444613976197742,0.8184185028076172,6.504315614700317,ok,,3,"2,3,5",0.0031876564025878,ok selected=3 candidates=7 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/Amazon_employee_access.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Amazon_employee_access.json
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5863471971066908,0.8211615085601807,34.52566885948181,ok,,6,"0,3,5,6,7,8",0.0519332885742187,ok selected=6 candidates=9 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/BNG_cmc.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/BNG_cmc.json
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.3865387439727783,0.2289857864379882,ok,,3,"0,1,3",0.0106973648071289,ok selected=3 candidates=11 samples=1072,baseline/iclv1.1_casual_ensmble32/causal_graphs/Basketball_c.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/Basketball_c.json
