dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
ozone-level-8hr,/home/crc00006699/zh/tabiclv2/data178/ozone-level-8hr,binclass,2027,406,507,72,2,0.9526627218934911,0.6039702892303467,0.9975428581237793,ok,,5,"11,40,48,60,63",0.12586379051208496,ok selected=5 candidates=72 samples=2027,baseline/iclv1.1_casual_ensmble32/causal_graphs/ozone-level-8hr.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/ozone-level-8hr.json
pc3,/home/crc00006699/zh/tabiclv2/data178/pc3,binclass,1250,250,313,37,2,0.9041533546325878,0.4261636734008789,0.24112796783447266,ok,,3,"0,25,35",0.01963043212890625,ok selected=3 candidates=37 samples=1250,baseline/iclv1.1_casual_ensmble32/causal_graphs/pc3.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/pc3.json
phoneme,/home/crc00006699/zh/tabiclv2/data178/phoneme,binclass,4323,865,1081,5,2,0.902867715078631,0.366241455078125,0.7154934406280518,ok,,5,"0,1,2,3,4",0.018654346466064453,ok selected=5 candidates=5 samples=4323,baseline/iclv1.1_casual_ensmble32/causal_graphs/phoneme.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/phoneme.json
qsar,/home/crc00006699/zh/tabiclv2/data178/qsar,binclass,844,169,211,40,2,0.8909952606635071,0.49036121368408203,0.6454067230224609,ok,,7,"0,9,15,19,20,36,38",0.10601973533630371,ok selected=7 candidates=40 samples=844,baseline/iclv1.1_casual_ensmble32/causal_graphs/qsar.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/qsar.json
rl,/home/crc00006699/zh/tabiclv2/data178/rl,binclass,3976,796,994,12,2,0.8410462776659959,0.395097017288208,0.5427167415618896,ok,,4,"1,8,10,11",0.019036054611206055,ok selected=4 candidates=12 samples=3976,baseline/iclv1.1_casual_ensmble32/causal_graphs/rl.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/rl.json
seismic+bumps,/home/crc00006699/zh/tabiclv2/data178/seismic+bumps,binclass,2067,414,517,18,2,0.9342359767891683,0.36954474449157715,0.2646443843841553,ok,,3,"2,5,8",0.009145021438598633,ok selected=3 candidates=18 samples=2067,baseline/iclv1.1_casual_ensmble32/causal_graphs/seismic_bumps.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/seismic_bumps.json
spambase,/home/crc00006699/zh/tabiclv2/data178/spambase,binclass,3680,736,921,57,2,0.9576547231270358,1.691267967224121,1.9826867580413818,ok,,16,"4,5,6,7,8,10,15,16,18,20,22,24,25,51,52,56",1.2177410125732422,ok selected=16 candidates=57 samples=3680,baseline/iclv1.1_casual_ensmble32/causal_graphs/spambase.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/spambase.json
statlog,/home/crc00006699/zh/tabiclv2/data178/statlog,binclass,800,160,200,20,2,0.745,0.42012834548950195,0.42225170135498047,ok,,6,"0,1,3,5,13,15",0.0457608699798584,ok selected=6 candidates=20 samples=800,baseline/iclv1.1_casual_ensmble32/causal_graphs/statlog.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/statlog.json
taiwanese_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data178/taiwanese_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9706744868035191,1.1890802383422852,3.9923148155212402,ok,,11,"1,14,37,39,41,58,59,64,83,84,85",0.4542090892791748,ok selected=11 candidates=95 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/taiwanese_bankruptcy_prediction.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/taiwanese_bankruptcy_prediction.json
thyroid,/home/crc00006699/zh/tabiclv2/data178/thyroid,multiclass,5760,1152,1440,21,3,0.9923611111111111,0.4495866298675537,2.067739963531494,ok,,6,"1,9,16,17,18,20",0.055124521255493164,ok selected=6 candidates=21 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/thyroid.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/thyroid.json
turiye_student_evaluation,/home/crc00006699/zh/tabiclv2/data178/turiye_student_evaluation,multiclass,4656,932,1164,32,5,0.5180412371134021,0.4725055694580078,1.7573461532592773,ok,,3,"1,2,3",0.03251028060913086,ok selected=3 candidates=32 samples=4656,baseline/iclv1.1_casual_ensmble32/causal_graphs/turiye_student_evaluation.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/turiye_student_evaluation.json
volkert,/home/crc00006699/zh/tabiclv2/data178/volkert,multiclass,46648,9330,11662,180,10,0.7503858686331676,6.745562791824341,264.28725957870483,ok,,22,"50,64,65,68,69,70,71,72,77,78,79,80,84,90,91,102,119,124,136,151,163,168",1.1512372493743896,ok selected=22 candidates=128 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/volkert.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/volkert.json
water_quality,/home/crc00006699/zh/tabiclv2/data178/water_quality,binclass,6396,1280,1600,20,2,0.9075,0.5478239059448242,2.1561086177825928,ok,,8,"0,2,4,6,10,12,14,15",0.12324023246765137,ok selected=8 candidates=20 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/water_quality.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/water_quality.json
waveform_database_generator_version_1,/home/crc00006699/zh/tabiclv2/data178/waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.862,0.5790691375732422,1.3374049663543701,ok,,9,"1,2,3,4,5,6,10,11,12",0.159224271774292,ok selected=9 candidates=21 samples=4000,baseline/iclv1.1_casual_ensmble32/causal_graphs/waveform_database_generator_version_1.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/waveform_database_generator_version_1.json
wine-quality-red,/home/crc00006699/zh/tabiclv2/data178/wine-quality-red,multiclass,1279,256,320,4,6,0.665625,0.33764123916625977,0.32074666023254395,ok,,3,"0,2,3",0.0009300708770751953,ok selected=3 candidates=4 samples=1279,baseline/iclv1.1_casual_ensmble32/causal_graphs/wine-quality-red.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/wine-quality-red.json
