dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7272531562094675,0.727607507721549,0.7930921834164885,0.553130949246042,0.665729284286499,0.6509490013122559,ok,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8791666666666667,0.8773704055474667,0.7965378040041882,0.9704543789116464,0.3156933918031613,0.5170106887817383,3.540311098098755,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.7283203125000001,0.6026621843575768,0.4982216358184814,0.6390941143035889,ok,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6147368421052631,0.5695262646275574,0.4311806850344764,0.7084044059764215,0.7903143501520962,0.512089729309082,1.3812711238861084,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8006263048016702,0.8031068007088733,0.7469025872281881,0.8109226998018223,0.4296132969888336,0.6286306381225586,7.142102479934692,ok,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9046175051688492,0.9040424831745656,0.8860378769963552,0.9627339994476932,0.2235627536735876,0.8222301006317139,19.71092128753662,ok,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.999498083906782,0.9993540051679586,1.0,0.0009732406068493,0.6074137687683105,3.145501136779785,ok,
MIC,/home/crc00006699/zh/tabiclv2/data178/MIC,binclass,1319,264,330,104,2,0.9090909090909092,0.8995772562318263,0.7459413873076113,0.8833719867875466,0.2644560252864975,0.7512433528900146,1.5839457511901855,ok,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.8839285714285714,0.8741572521865889,0.7041955576448466,0.9261370313785404,0.2390741623888206,0.4485440254211426,0.932835578918457,ok,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.7812470672147456,0.5238027111127007,0.7767802854179335,0.3778910191216699,0.483536958694458,0.549746036529541,ok,
PieChart3,/home/crc00006699/zh/tabiclv2/data178/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8745835782872821,0.2678483069324904,0.643402099609375,1.2366070747375488,ok,
