dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy_iclv2_ensmble8,accuracy_tabpfnv3,delta_tabpfnv3_minus_iclv2_ensmble8,delta_correct_estimate,winner
one-hundred-plants-shape,multiclass,1280,256,320,64,100,0.8375,0.815625,-0.021874999999999978,-6.999999999999993,iclv2_ensmble8
one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.934375,0.921875,-0.012499999999999956,-3.999999999999986,iclv2_ensmble8
online_shoppers,binclass,9864,1973,2466,14,2,0.9051094890510948,0.9051094890510948,0.0,0.0,tie
optdigits,multiclass,4496,900,1124,64,10,0.99644128113879,0.998220640569395,0.001779359430604921,1.9999999999999312,tabpfnv3_results
ozone-level-8hr,binclass,2027,406,507,72,2,0.9546351084812624,0.9585798816568049,0.0039447731755424265,2.00000000000001,tabpfnv3_results
page-blocks,multiclass,4378,876,1095,10,5,0.9771689497716894,0.9799086757990868,0.00273972602739736,3.0000000000001092,tabpfnv3_results
pc1,binclass,887,178,222,21,2,0.945945945945946,0.945945945945946,0.0,0.0,tie
pc3,binclass,1250,250,313,37,2,0.9009584664536742,0.8913738019169329,-0.009584664536741228,-3.0000000000000044,iclv2_ensmble8
pc4,binclass,1166,234,292,37,2,0.910958904109589,0.9212328767123288,0.010273972602739767,3.000000000000012,tabpfnv3_results
pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.9968167348794906,-0.0004547521600729576,-1.0000000000004339,iclv2_ensmble8
phoneme,binclass,4323,865,1081,5,2,0.9074930619796484,0.9037927844588344,-0.0037002775208140326,-3.9999999999999694,iclv2_ensmble8
pol,binclass,8065,1613,2017,26,2,0.9930589985126426,0.9910758552305404,-0.00198314328210214,-4.000000000000016,iclv2_ensmble8
predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7807909604519774,0.7762711864406779,-0.004519774011299438,-4.000000000000003,iclv2_ensmble8
qsar,binclass,844,169,211,40,2,0.90521327014218,0.909952606635071,0.004739336492891044,1.0000000000000102,tabpfnv3_results
rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9304461942257218,0.9304461942257218,0.0,0.0,tie
ringnorm,binclass,5920,1184,1480,20,2,0.9797297297297296,0.9817567567567568,0.002027027027027173,3.000000000000216,tabpfnv3_results
rl,binclass,3976,796,994,12,2,0.9044265593561368,0.903420523138833,-0.001006036217303774,-0.9999999999999514,iclv2_ensmble8
satimage,multiclass,5144,1029,1286,36,6,0.9416796267496113,0.9385692068429238,-0.0031104199066874783,-4.000000000000097,iclv2_ensmble8
segment,multiclass,1848,370,462,17,7,0.9545454545454546,0.948051948051948,-0.006493506493506551,-3.0000000000000266,iclv2_ensmble8
seismic+bumps,binclass,2067,414,517,18,2,0.9342359767891684,0.9342359767891684,0.0,0.0,tie
semeion,multiclass,1274,255,319,256,10,0.9686520376175548,0.9592476489028212,-0.009404388714733591,-3.0000000000000155,iclv2_ensmble8
shuttle,multiclass,46400,9280,11600,9,7,0.999396551724138,0.999396551724138,0.0,0.0,tie
spambase,binclass,3680,736,921,57,2,0.9598262757871878,0.9565689467969598,-0.0032573289902280145,-3.0000000000000013,iclv2_ensmble8
splice,multiclass,2552,511,638,60,3,0.962382445141066,0.9592476489028212,-0.0031347962382447525,-2.000000000000152,iclv2_ensmble8
sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.855,0.010000000000000009,2.0000000000000018,tabpfnv3_results
statlog,binclass,800,160,200,20,2,0.735,0.735,0.0,0.0,tie
steel_plates_faults,multiclass,1552,311,389,27,7,0.8483290488431876,0.8688946015424165,0.020565552699228884,8.000000000000036,tabpfnv3_results
sylvine,binclass,4099,820,1025,20,2,0.9795121951219512,0.982439024390244,0.0029268292682927965,3.0000000000001164,tabpfnv3_results
taiwanese_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9721407624633432,0.9721407624633432,0.0,0.0,tie
telco-customer-churn,binclass,5634,1127,1409,18,2,0.8048261178140526,0.8041163946061036,-0.0007097232079489313,-1.0000000000000442,iclv2_ensmble8
texture,multiclass,4400,880,1100,40,11,1.0,1.0,0.0,0.0,tie
thyroid,multiclass,5760,1152,1440,21,3,0.9944444444444444,0.99375,-0.000694444444444331,-0.9999999999998366,iclv2_ensmble8
thyroid-ann,multiclass,3017,604,755,21,3,0.9920529801324504,0.9894039735099338,-0.0026490066225165476,-1.9999999999999933,iclv2_ensmble8
thyroid-dis,multiclass,2240,448,560,26,5,0.6964285714285714,0.6964285714285714,0.0,0.0,tie
turiye_student_evaluation,multiclass,4656,932,1164,32,5,0.5214776632302406,0.5223367697594502,0.0008591065292096189,0.9999999999999964,tabpfnv3_results
twonorm,binclass,5920,1184,1480,20,2,0.979054054054054,0.9777027027027028,-0.0013513513513512265,-1.9999999999998153,iclv2_ensmble8
vehicle,multiclass,676,136,170,18,4,0.8764705882352941,0.888235294117647,0.0117647058823529,1.999999999999993,tabpfnv3_results
volkert,multiclass,46648,9330,11662,180,10,0.7341793860401303,0.7485851483450523,0.014405762304921965,167.99999999999997,tabpfnv3_results
walking-activity,multiclass,119465,23893,29867,4,22,0.6737871229115746,0.6798138413633776,0.006026718451803026,180.00000000000097,tabpfnv3_results
wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9926739926739928,0.9844322344322344,-0.008241758241758435,-9.00000000000021,iclv2_ensmble8
water_quality,binclass,6396,1280,1600,20,2,0.9125,0.9075,-0.0050000000000000044,-8.000000000000007,iclv2_ensmble8
waveform-5000,multiclass,4000,800,1000,40,3,0.867,0.871,0.0040000000000000036,4.0000000000000036,tabpfnv3_results
waveform_database_generator,multiclass,3999,800,1000,21,3,0.342,0.339,-0.0030000000000000027,-3.0000000000000027,iclv2_ensmble8
waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.87,0.872,0.0020000000000000018,2.0000000000000018,tabpfnv3_results
website_phishing,multiclass,1082,217,271,9,3,0.92619926199262,0.922509225092251,-0.0036900369003690647,-1.0000000000000164,iclv2_ensmble8
