dataset_name,direction,accuracy_base,accuracy_ttt,acc_delta_ttt_minus_base,meta_n_features,meta_n_num_features,meta_n_cat_features,meta_total_samples,meta_train_size,meta_val_size,meta_test_size,meta_task_type,meta_num_classes,n_features_base,n_features_ttt,n_classes_base,n_classes_ttt,ttt_applied,ttt_epochs,ttt_steps,f1,roc_auc
telco-customer-churn,down,0.8090844570617459,0.8048261178140526,-0.004258339247693366,18,3,15,7043,4507,1127,1409,binclass,,18,18,2,2,True,8,8,0.7956695036647828,0.8506200108501899
INNHotelsGroup,down,0.9010337698139216,0.8967608545830462,-0.004272915230875363,17,11,6,36275,23216,5804,7255,binclass,2,17,17,2,2,True,8,16,0.8958154462629352,0.9563628945082046
Diabetic_Retinopathy_Debrecen,down,0.7575757575757576,0.7532467532467533,-0.0043290043290042934,19,16,3,1151,736,184,231,binclass,2,19,19,2,2,True,8,8,0.7531724089863625,0.8369843420656429
segment,down,0.945887445887446,0.9415584415584416,-0.0043290043290044045,17,17,0,2310,1478,370,462,multiclass,,17,17,7,7,True,8,8,0.9418745799278556,0.9956545979273252
California-Housing-Classification,down,0.9149709302325582,0.9106104651162792,-0.0043604651162789665,8,8,0,20640,13209,3303,4128,binclass,,8,8,2,2,True,8,8,0.9106083720092528,0.974363130399674
pc1,down,0.945945945945946,0.9414414414414416,-0.0045045045045044585,21,21,0,1109,709,178,222,binclass,,21,21,2,2,True,8,8,0.9199428109746336,0.871658615136876
FICO-HELOC-cleaned,down,0.7468354430379747,0.7422784810126583,-0.004556962025316413,23,21,2,9871,6316,1580,1975,binclass,,23,23,2,2,True,8,8,0.7421831122176172,0.8211837299027442
led24,down,0.734375,0.7296875,-0.004687499999999956,24,0,24,3200,2048,512,640,multiclass,,24,24,10,10,True,8,8,0.7241279310557914,0.956424821891934
mfeat-factors,down,0.98,0.975,-0.0050000000000000044,216,216,0,2000,1280,320,400,multiclass,,216,216,10,10,True,8,8,0.9749898377648712,0.9996041666666666
kr-vs-k,down,0.8964718460441911,0.8913043478260869,-0.0051674982181041385,6,3,3,28056,17955,4489,5612,multiclass,,6,6,18,18,False,0,0,0.8908826726626438,0.9966017628246386
satimage,down,0.9331259720062208,0.927682737169518,-0.005443234836702837,36,36,0,6430,4115,1029,1286,multiclass,,36,36,6,6,True,8,8,0.9253961708341392,0.9946490402669884
FOREX_cadjpy-day-High,down,0.7275204359673024,0.7220708446866485,-0.00544959128065392,10,10,0,1834,1173,294,367,binclass,,10,10,2,2,True,8,8,0.7219552472958468,0.7924536707056309
car-evaluation,down,0.9942196531791908,0.9884393063583816,-0.00578034682080919,21,0,21,1728,1105,277,346,multiclass,,21,21,4,4,True,8,8,0.9886082025857558,0.9993694631652088
in_vehicle_coupon_recommendation,down,0.7812376823019315,0.7753251872290107,-0.005912495072920798,21,0,21,12684,8117,2030,2537,binclass,2,21,21,2,2,True,8,8,0.7734280393374866,0.8494759308165346
waveform-5000,down,0.865,0.859,-0.006000000000000005,40,40,0,5000,3200,800,1000,multiclass,,40,40,3,3,True,8,8,0.8589893145634322,0.9779682470156006
MIC,down,0.9090909090909092,0.9030303030303032,-0.006060606060605989,104,9,95,1649,1055,264,330,binclass,,104,104,2,2,True,8,8,0.89153605015674,0.8926488157987209
