dataset,key,layer,group,shape,numel,base_norm,current_norm,delta_l2,rel_l2,mean_abs_delta,median_abs_delta,max_abs_delta,rms_delta,changed_fraction_exact,changed_fraction_gt_1e_12,cosine_similarity
Amazon,icl_predictor.tf_icl.blocks.1.attn.in_proj_weight,block_01,attn.in_proj,1536x512,786432,37.92544937133789,37.92557907104492,0.02496170438826084,0.0006581782102000605,2.440437128825579e-05,2.3646280169487e-05,5.072169005870819e-05,2.814826489976437e-05,0.9999745488166809,0.9999745488166809,1.0000324249267578
Amazon,icl_predictor.tf_icl.blocks.1.attn.in_proj_bias,block_01,attn.in_proj,1536,1536,0.9749131798744202,0.9749788045883179,0.0008634189143776894,0.0008856367235572935,1.5776420696056448e-05,1.309998333454132e-05,5.048327147960663e-05,2.2030583202589456e-05,0.9986979365348816,0.9986979365348816,0.9999994039535522
Amazon,icl_predictor.tf_icl.blocks.1.attn.out_proj.weight,block_01,attn.out_proj,512x512,262144,17.449405670166016,17.449453353881836,0.014376542530953884,0.0008238986933253115,2.431945722491946e-05,2.3797154426574707e-05,5.074217915534973e-05,2.8079278198570568e-05,0.9999809265136719,0.9999809265136719,1.0000081062316895
Amazon,icl_predictor.tf_icl.blocks.1.attn.out_proj.bias,block_01,attn.out_proj,512,512,0.30195021629333496,0.3019379675388336,0.0005872817710042,0.0019449622464642637,2.2551845177076757e-05,2.273893915116787e-05,5.041062831878662e-05,2.595443303465363e-05,1.0,1.0,0.9999979138374329
Amazon,icl_predictor.tf_icl.blocks.2.linear1.weight,block_02,ffn.linear1,1024x512,524288,24.237545013427734,24.23728370666504,0.022608529776334763,0.0009327895941527321,2.7566336939344183e-05,2.8463546186685562e-05,5.0751492381095886e-05,3.122416282751091e-05,0.9999809265136719,0.9999809265136719,1.0000216960906982
Amazon,icl_predictor.tf_icl.blocks.2.linear1.bias,block_02,ffn.linear1,1024,1024,0.9233995676040649,0.9233158230781555,0.0010965309338644147,0.001187493445235614,3.1443101761396974e-05,3.533391281962395e-05,5.000084638595581e-05,3.426658988475468e-05,1.0,1.0,0.999999463558197
Amazon,icl_predictor.tf_icl.blocks.2.linear2.weight,block_02,ffn.linear2,512x1024,524288,14.599296569824219,14.59896183013916,0.022221863269805908,0.0015221187653476065,2.7069630959886126e-05,2.7972273528575897e-05,5.077198147773743e-05,3.0690080117592864e-05,0.9999923706054688,0.9999923706054688,1.0000255107879639
Amazon,icl_predictor.tf_icl.blocks.2.linear2.bias,block_02,ffn.linear2,512,512,0.24243107438087463,0.24242301285266876,0.0006461741868406534,0.002665393405066577,2.5144092433038168e-05,2.5841814931482077e-05,5.0463160732761025e-05,2.855713364198708e-05,1.0,1.0,0.9999964833259583
Amazon,icl_predictor.tf_icl.blocks.2.norm1.weight,block_02,norm1,512,512,22.03780174255371,22.037946701049805,0.0006487178616225719,2.9436595773066884e-05,2.5137211196124554e-05,2.5153160095214844e-05,5.060434341430664e-05,2.8669563064661763e-05,1.0,1.0,1.0
Amazon,icl_predictor.tf_icl.blocks.2.norm1.bias,block_02,norm1,512,512,0.9388101696968079,0.938787579536438,0.0006094365380704403,0.0006491584323874665,2.3627573682460934e-05,2.345442771911621e-05,5.030632019042969e-05,2.693354279494602e-05,1.0,1.0,0.9999998807907104
