dataset,layer,group,num_tensors,numel,mean_abs_delta,rel_l2,max_abs_delta,changed_fraction_gt_1e_12
BLE,block_07,attn.in_proj,2,787968,2.6313847229175735e-05,0.0006604335810556374,5.0805509090423584e-05,0.9996649324893951
BLE,block_07,attn.out_proj,2,262656,3.1448093977815006e-05,0.0012308095069940362,5.080178380012512e-05,1.0
BLE,block_07,ffn.linear1,2,525312,3.1270876206690446e-05,0.0009831232058830034,5.0805509090423584e-05,0.9999904632568359
BLE,block_07,ffn.linear2,2,524800,3.072383515245747e-05,0.0016795420671550057,5.080364644527435e-05,0.9999885559082031
BLE,block_07,norm1,2,1024,2.8569078494911082e-05,0.0006644601564197382,5.066394805908203e-05,0.9990234375
BLE,block_07,norm2,2,1024,2.7351650714990683e-05,0.0005117150265639924,5.072355270385742e-05,1.0
BLE,block_08,attn.in_proj,2,787968,2.6544184038357344e-05,0.0007423836278854649,5.08064404129982e-05,0.9983654022216797
BLE,block_08,attn.out_proj,2,262656,3.0591502763854805e-05,0.0011543025263388573,5.080364644527435e-05,0.9999961853027344
BLE,block_08,ffn.linear1,2,525312,3.19190658046864e-05,0.000987494596526546,5.080879054730758e-05,0.9999942779541016
BLE,block_08,ffn.linear2,2,524800,3.1305815355153754e-05,0.0016463540306053761,5.0797127187252045e-05,0.9999961853027344
BLE,block_08,norm1,2,1024,2.9748835004284047e-05,0.0006345363212849017,5.060061812400818e-05,1.0
BLE,block_08,norm2,2,1024,3.0881332349963486e-05,0.0005619623430402156,5.066394805908203e-05,1.0
BLE,block_09,attn.in_proj,2,787968,2.750797193584731e-05,0.0007147585146493184,5.081202834844589e-05,0.9993432462215424
BLE,block_09,attn.out_proj,2,262656,3.287051367806271e-05,0.0012785058752081415,5.0770118832588196e-05,1.0
BLE,block_09,ffn.linear1,2,525312,3.34497781295795e-05,0.0010725128732666524,5.081668496131897e-05,0.9999980926513672
BLE,block_09,ffn.linear2,2,524800,3.352276507939678e-05,0.0017463292922943348,5.081109702587128e-05,0.9999971389770508
BLE,block_09,norm1,2,1024,3.103661492787069e-05,0.0005315547959772849,5.066394805908203e-05,1.0
BLE,block_09,norm2,2,1024,3.088268749706913e-05,0.0005717046249715203,5.066394805908203e-05,1.0
BLE,block_10,attn.in_proj,2,787968,2.8048634703736752e-05,0.000763518774038916,5.081668496131897e-05,0.9996693730354309
BLE,block_10,attn.out_proj,2,262656,3.351144550833851e-05,0.0015099652902569533,5.079619586467743e-05,0.9999942779541016
