dataset_name,task_type,baseline_acc,n_classes,up_count,down_count,flat_count,first_up_step,last_up_step,best_step,best_acc,best_delta_pp,up_steps,first_down_step,last_down_step,worst_step,worst_acc,worst_delta_pp,down_steps,flat_steps,final_step,final_delta_pp,pattern,delta_pp_step1,delta_pp_step2,delta_pp_step3,delta_pp_step4,delta_pp_step5,delta_pp_step10,delta_pp_step20,delta_pp_step30,delta_pp_step40,delta_pp_step50
allrep,multiclass,0.9854304635761588,4,0,0,10,,,1,0.9854304635761588,0.0,,,,1,0.9854304635761588,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analcatdata_authorship,multiclass,0.9881656804733728,4,0,0,10,,,1,0.9881656804733728,0.0,,,,1,0.9881656804733728,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial-characters,multiclass,0.8639921722113503,10,10,0,0,1,50,50,0.8825831702544031,1.8590998043052864,"1,2,3,4,5,10,20,30,40,50",,,1,0.8644814090019569,0.04892367906066397,,,50,1.8590998043052864,all_steps_up,0.04892367906066397,0.14677103718200302,0.24461839530333096,0.3913894324853229,0.5870841487279899,0.6849315068493178,1.3209393346379716,1.4677103718199636,1.8101761252446225,1.8590998043052864
autoUniv-au4-2500,multiclass,0.522,3,4,2,4,20,50,50,0.538,1.6000000000000014,"20,30,40,50",1,2,1,0.52,-0.20000000000000018,"1,2","3,4,5,10",50,1.6000000000000014,mixed_recovered_to_gain,-0.20000000000000018,-0.20000000000000018,0.0,0.0,0.0,0.0,0.6000000000000005,0.20000000000000018,1.4000000000000012,1.6000000000000014
autoUniv-au7-1100,multiclass,0.4045454545454545,5,3,1,6,5,50,50,0.4227272727272727,1.8181818181818188,"5,40,50",30,30,30,0.3909090909090909,-1.3636363636363613,30,"1,2,3,4,10,20",50,1.8181818181818188,mixed_recovered_to_gain,0.0,0.0,0.0,0.0,0.454545454545463,0.0,0.0,-1.3636363636363613,1.3636363636363613,1.8181818181818188
bank,binclass,0.9089903792989052,2,2,7,1,10,50,50,0.909322127612518,0.033174831361271195,"10,50",1,40,3,0.9086586309852924,-0.0331748313612823,"1,2,3,4,20,30,40",5,50,0.033174831361271195,mixed_recovered_to_gain,-0.011058277120423732,-0.022116554240847464,-0.0331748313612823,-0.0331748313612823,0.0,0.011058277120434834,-0.0331748313612823,-0.022116554240847464,-0.022116554240847464,0.033174831361271195
banknote_authentication,binclass,0.5490909090909091,2,6,2,2,2,30,20,0.5563636363636364,0.727272727272732,"2,3,4,5,20,30",40,50,50,0.5163636363636364,-3.2727272727272716,"40,50","1,10",50,-3.2727272727272716,mixed_ended_in_decline,0.0,0.363636363636366,0.363636363636366,0.363636363636366,0.363636363636366,0.0,0.727272727272732,0.727272727272732,-1.0909090909090868,-3.2727272727272716
baseball,multiclass,0.9477611940298508,3,0,0,10,,,1,0.9477611940298508,0.0,,,,1,0.9477611940298508,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car-evaluation,multiclass,0.9739884393063584,4,10,0,0,1,50,5,0.9826589595375722,0.8670520231213841,"1,2,3,4,5,10,20,30,40,50",,,1,0.976878612716763,0.28901734104046506,,,50,0.578034682080919,all_steps_up,0.28901734104046506,0.28901734104046506,0.578034682080919,0.578034682080919,0.8670520231213841,0.8670520231213841,0.8670520231213841,0.8670520231213841,0.578034682080919,0.578034682080919
churn,binclass,0.952,2,5,0,5,10,50,20,0.954,0.20000000000000018,"10,20,30,40,50",,,1,0.952,0.0,,"1,2,3,4,5",50,0.20000000000000018,nonnegative_gain,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.20000000000000018
cmc,multiclass,0.5898305084745763,3,0,7,3,,,1,0.5898305084745763,0.0,,4,50,40,0.5830508474576271,-0.6779661016949157,"4,5,10,20,30,40,50","1,2,3",50,-0.6779661016949157,nonpositive_decline,0.0,0.0,0.0,-0.3389830508474634,-0.3389830508474634,-0.3389830508474634,-0.3389830508474634,-0.3389830508474634,-0.6779661016949157,-0.6779661016949157
