dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,aoc,aoc_metric,aoc_error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.9972742335430836,231.28910732269287,3.48997163772583,ok,,0.0120298719253893,log_loss,,8793,7034,0,2199,0.004954210940923,8,5e-06,True,231.1585967540741,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9982944855031268,0.9982944855031268,0,True
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data178/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.784180790960452,0.7789871615924339,171.1278829574585,1.7602882385253906,ok,,0.5519447918142294,log_loss,,3539,2831,0,885,0.5502890404313803,15,5e-06,True,170.97247409820557,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8022598870056498,0.8121468926553672,7,True
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.9783783783783784,0.9783745075281124,191.5784089565277,2.369187116622925,ok,,0.0028052181440633,1_minus_roc_auc,,5920,4736,0,1480,0.0465884143486619,11,5e-06,True,191.467889547348,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.981418918918919,0.9822635135135136,3,True
segment,/home/crc00006699/zh/tabiclv2/data178/segment,multiclass,1848,370,462,17,7,0.9523809523809524,0.9523661343862664,47.60806846618652,0.6351022720336914,ok,,0.1410773681451296,log_loss,,1848,1478,0,462,0.0855577944312244,12,5e-06,True,47.55790257453919,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9432432432432432,0.9513513513513514,4,True
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.9993103448275862,0.9993053493768193,2118.0554254055023,39.616984128952026,ok,,0.0010352882387268,log_loss,,46400,37120,0,11600,0.0006810756090089,16,5e-06,True,2117.7061100006104,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9998922413793104,0.9998922413793104,0,True
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data178/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.8419021663172606,30.83200716972351,1.3646974563598633,ok,,0.1050587854600367,1_minus_roc_auc,,800,640,0,200,0.4527423158288002,8,5e-06,True,30.720256090164185,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.8375,0.8375,0,True
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.977560975609756,0.9775608474625496,85.88393497467041,1.576554298400879,ok,,0.0014657955653021,1_minus_roc_auc,,4099,3279,0,1025,0.0727274704258889,8,5e-06,True,85.79214596748352,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9792682926829268,0.9792682926829268,0,True
texture,/home/crc00006699/zh/tabiclv2/data178/texture,multiclass,4400,880,1100,40,11,1.0,1.0,0.9767839908599854,5.589004278182983,ok,,4.266947737078856e-05,log_loss,,4400,3520,0,1100,,0,5e-06,False,0.4792940616607666,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False
thyroid-dis,/home/crc00006699/zh/tabiclv2/data178/thyroid-dis,multiclass,2240,448,560,26,5,0.6982142857142857,0.6783923802078972,47.53602361679077,0.9742724895477296,ok,,0.6946470903638317,log_loss,,2240,1792,0,560,0.6808900311589241,8,5e-06,True,47.44251775741577,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.7388392857142857,0.7388392857142857,0,True
vehicle,/home/crc00006699/zh/tabiclv2/data178/vehicle,multiclass,676,136,170,18,4,0.8764705882352941,0.874646619160595,35.71259951591492,0.6185860633850098,ok,,0.2583057617112118,log_loss,,676,540,0,170,0.2101029730401933,17,5e-06,True,35.67223834991455,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9044117647058824,0.9191176470588236,9,True
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data178/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9935897435897436,0.9935906981990156,139.47902750968933,1.822049140930176,ok,,0.0140794450354226,log_loss,,4364,3491,0,1092,0.0299596265540458,11,5e-06,True,139.37115240097046,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.983963344788087,0.9851088201603666,3,True
waveform_database_generator,/home/crc00006699/zh/tabiclv2/data178/waveform_database_generator,multiclass,3999,800,1000,21,3,0.358,0.2271584469861655,249.60051941871643,1.5888004302978516,ok,,1.0984935039520596,log_loss,,3999,3199,0,1000,1.0971061140298843,24,5e-06,True,249.5123443603516,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.33125,0.34375,16,True
